stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\C(++) Projects\_C++\Game Engine\MakaiLib\bin\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.01019] added dtor for sub_bitmap 0000000000e36a80, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01022] added dtor for sub_bitmap 0000000000e37500, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01026] added dtor for sub_bitmap 0000000000e376c0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01028] added dtor for sub_bitmap 0000000000e36c40, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01035] added dtor for sub_bitmap 0000000000e37340, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01037] added dtor for sub_bitmap 0000000000e35ac0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01042] added dtor for sub_bitmap 0000000000e36fc0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01044] added dtor for sub_bitmap 0000000000e37180, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01046] added dtor for sub_bitmap 0000000000e36e00, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01051] added dtor for sub_bitmap 0000000000e35c80, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01053] added dtor for sub_bitmap 0000000000e35e40, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01055] added dtor for sub_bitmap 0000000000e36000, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01057] added dtor for sub_bitmap 0000000000e36700, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01059] added dtor for sub_bitmap 0000000000e361c0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01061] added dtor for sub_bitmap 0000000000e36380, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01063] added dtor for sub_bitmap 0000000000e36540, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01068] added dtor for sub_bitmap 0000000000e3acb0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01072] added dtor for sub_bitmap 0000000000e397b0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01074] added dtor for sub_bitmap 0000000000e3a070, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01076] added dtor for sub_bitmap 0000000000e3a3f0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01078] added dtor for sub_bitmap 0000000000e39970, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01080] added dtor for sub_bitmap 0000000000e39b30, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01082] added dtor for sub_bitmap 0000000000e395f0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01084] added dtor for sub_bitmap 0000000000e38ef0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01086] added dtor for sub_bitmap 0000000000e3a930, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01088] added dtor for sub_bitmap 0000000000e3aaf0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01091] added dtor for sub_bitmap 0000000000e3a770, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01093] added dtor for sub_bitmap 0000000000e39eb0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01095] added dtor for sub_bitmap 0000000000e39cf0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01097] added dtor for sub_bitmap 0000000000e390b0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01099] added dtor for sub_bitmap 0000000000e3a5b0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01102] added dtor for sub_bitmap 0000000000e39270, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01107] added dtor for sub_bitmap 0000000000e39430, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01109] added dtor for sub_bitmap 0000000000e3a230, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01115] added dtor for sub_bitmap 0000000000e3ea80, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01117] added dtor for sub_bitmap 0000000000e3b600, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01119] added dtor for sub_bitmap 0000000000e3af00, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01125] added dtor for sub_bitmap 0000000000e3c240, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01127] added dtor for sub_bitmap 0000000000e3ccc0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01129] added dtor for sub_bitmap 0000000000e3ce80, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01133] added dtor for sub_bitmap 0000000000e3e000, func 00007ffd74781bf8
